Date,State,Cases,Deaths,Month,Year,Total Daily Cases US,Total Daily Deaths US,RatioCases,RatioDeaths,Explanation
2/1/2020,Arizona,1,0,2,2020,8,0,0.125,0,"<p>Summary of key takeaways for this month:</p>
<ol>
<li>The first recorded U.S. case of the new virus was also reported on January 20, in an American citizen traveling from Wuhan, China, to his home in Washington state. A few days later, another case was reported in Chicago, by a woman who had also just returned from Wuhan. A third case was confirmed a day later in Orange County, California.</li>
<li>Two more cases were confirmed on January 26, similarly by two people who had returned from Wuhan. All cases to this point were allowed to self-isolate at home for two weeks, whereafter they were assumed to be no longer infected or contagious.</li>
<li>On January 31, another case of a person who returned from Wuhan was confirmed in California, which marked the seventh known case in the U.S.</li>
</ol>"
2/1/2020,California,3,0,2,2020,8,0,0.375,0,
2/1/2020,Illinois,2,0,2,2020,8,0,0.25,0,
2/1/2020,Massachusetts,1,0,2,2020,8,0,0.125,0,
2/1/2020,Washington,1,0,2,2020,8,0,0.125,0,
2/1/2020,Alabama,0,0,2,2020,8,0,0,0,
2/1/2020,Alaska,0,0,2,2020,8,0,0,0,
2/1/2020,Arkansas,0,0,2,2020,8,0,0,0,
2/1/2020,Colorado,0,0,2,2020,8,0,0,0,
2/1/2020,Connecticut,0,0,2,2020,8,0,0,0,
2/1/2020,Delaware,0,0,2,2020,8,0,0,0,
2/1/2020,District of Columbia,0,0,2,2020,8,0,0,0,
2/1/2020,Florida,0,0,2,2020,8,0,0,0,
2/1/2020,Georgia,0,0,2,2020,8,0,0,0,
2/1/2020,Guam,0,0,2,2020,8,0,0,0,
2/1/2020,Hawaii,0,0,2,2020,8,0,0,0,
2/1/2020,Idaho,0,0,2,2020,8,0,0,0,
2/1/2020,Indiana,0,0,2,2020,8,0,0,0,
2/1/2020,Iowa,0,0,2,2020,8,0,0,0,
2/1/2020,Kansas,0,0,2,2020,8,0,0,0,
2/1/2020,Kentucky,0,0,2,2020,8,0,0,0,
2/1/2020,Louisiana,0,0,2,2020,8,0,0,0,
2/1/2020,Maine,0,0,2,2020,8,0,0,0,
2/1/2020,Maryland,0,0,2,2020,8,0,0,0,
2/1/2020,Michigan,0,0,2,2020,8,0,0,0,
2/1/2020,Minnesota,0,0,2,2020,8,0,0,0,
2/1/2020,Mississippi,0,0,2,2020,8,0,0,0,
2/1/2020,Missouri,0,0,2,2020,8,0,0,0,
2/1/2020,Montana,0,0,2,2020,8,0,0,0,
2/1/2020,Nebraska,0,0,2,2020,8,0,0,0,
2/1/2020,Nevada,0,0,2,2020,8,0,0,0,
2/1/2020,New Hampshire,0,0,2,2020,8,0,0,0,
2/1/2020,New Jersey,0,0,2,2020,8,0,0,0,
2/1/2020,New Mexico,0,0,2,2020,8,0,0,0,
2/1/2020,New York,0,0,2,2020,8,0,0,0,
2/1/2020,North Carolina,0,0,2,2020,8,0,0,0,
2/1/2020,North Dakota,0,0,2,2020,8,0,0,0,
2/1/2020,Northern Mariana Islands,0,0,2,2020,8,0,0,0,
2/1/2020,Ohio,0,0,2,2020,8,0,0,0,
2/1/2020,Oklahoma,0,0,2,2020,8,0,0,0,
2/1/2020,Oregon,0,0,2,2020,8,0,0,0,
2/1/2020,Pennsylvania,0,0,2,2020,8,0,0,0,
2/1/2020,Puerto Rico,0,0,2,2020,8,0,0,0,
2/1/2020,Rhode Island,0,0,2,2020,8,0,0,0,
2/1/2020,South Carolina,0,0,2,2020,8,0,0,0,
2/1/2020,South Dakota,0,0,2,2020,8,0,0,0,
2/1/2020,Tennessee,0,0,2,2020,8,0,0,0,
2/1/2020,Texas,0,0,2,2020,8,0,0,0,
2/1/2020,Utah,0,0,2,2020,8,0,0,0,
2/1/2020,Vermont,0,0,2,2020,8,0,0,0,
2/1/2020,Virgin Islands,0,0,2,2020,8,0,0,0,
2/1/2020,Virginia,0,0,2,2020,8,0,0,0,
2/1/2020,West Virginia,0,0,2,2020,8,0,0,0,
2/1/2020,Wisconsin,0,0,2,2020,8,0,0,0,
2/1/2020,Wyoming,0,0,2,2020,8,0,0,0,
